Time [s],Event
3,5901708,Setup read from 0x50. +ACK
3,5902428,Read 0x01 from 0x50. +ACK
3,5903668,Read 0xF3 from 0x50. +No ACK
3,5904975,Stop
3,5905550,Start
3,5906428,Setup write to 0x50. +ACK
3,5907148,Wrote 0x00 to 0x50. +ACK
3,5907868,Wrote 0x00 to 0x50. +ACK
3,5908525,Stop
3,5909990,Start
3,5910408,Setup write to 0x50. +ACK
3,5911130,Wrote 0x00 to 0x50. +ACK
3,5911850,Wrote 0x00 to 0x50. +ACK
3,5912508,Stop
3,5913033,Start
3,5913450,Setup write to 0x50. +ACK
3,5914170,Wrote 0x00 to 0x50. +ACK
3,5914890,Wrote 0x10 to 0x50. +ACK
3,5915548,Stop
3,5926765,Start
3,5927183,Setup write to 0x50. +ACK
3,5927903,Wrote 0x01 to 0x50. +ACK
3,5928623,Wrote 0x02 to 0x50. +ACK
3,5929343,Wrote 0x06 to 0x50. +ACK
3,5930063,Wrote 0x00 to 0x50. +ACK
3,5930720,Stop
3,5951440,Start
3,5951858,Setup write to 0x50. +ACK
3,5952580,Wrote 0x01 to 0x50. +ACK
3,5953278,Start
3,5953650,Setup read from 0x50. +ACK
3,5954370,Read 0x01 from 0x50. +ACK
3,5955610,Read 0xF6 from 0x50. +No ACK
3,5957378,Stop
3,5957973,Start
3,5958390,Setup write to 0x50. +ACK
3,5959110,Wrote 0x01 to 0x50. +ACK
3,5959830,Wrote 0x02 to 0x50. +ACK
3,5960550,Wrote 0x0E to 0x50. +ACK
3,5961270,Wrote 0xF6 to 0x50. +ACK
3,5961928,Stop
3,6002893,Start
3,6003310,Setup write to 0x50. +ACK
3,6004033,Wrote 0x01 to 0x50. +ACK
3,6004730,Start
3,6005103,Setup read from 0x50. +ACK
3,6005823,Read 0x01 from 0x50. +ACK
3,6008013,Read 0xF6 from 0x50. +No ACK
3,6009220,Stop
3,6009795,Start
3,6010213,Setup write to 0x50. +ACK
3,6010933,Wrote 0x01 to 0x50. +ACK
3,6011653,Wrote 0x01 to 0x50. +ACK
3,6012373,Wrote 0x0B to 0x50. +ACK
3,6013030,Stop
3,6053985,Start
3,6054403,Setup write to 0x50. +ACK
