ABS time (ms)	 value	 Arm On	 Arm Down	 Bowl On	 Bowl CW	 Dosage pump	 Drain pump	 Water valve	 Blow dryer	 duration (ms)
2473,64729	0xb-	1	0	1	1	0	0	x	0	18,140855
2491,788145	0xa-	1	0	1	0	0	0	x	0	0,03179
2491,819935	0x8-	1	0	0	0	0	0	x	0	0,005065
2491,825	0x8-	1	0	0	0	0	1	x	1	0,000005
2491,825005	0x8-	1	0	0	0	0	0	x	0	0,00024
2491,825245	0xb-	1	0	1	1	1	1	x	1	0,000005
2491,82525	0x8-	1	0	0	0	0	0	x	0	0,000185
2491,825435	0xf-	1	1	1	1	1	1	x	1	0,000005
2491,82544	0x8-	1	0	0	0	0	0	x	0	0,02635
2491,85179	0xc-	1	1	0	0	0	0	x	0	2,76859
2494,62038	0x8-	1	0	0	0	0	0	x	0	0,03185
2494,65223	0x0-	0	0	0	0	0	0	x	0	19,20633
