Time	Value	Arm	Bowl	Dosage pump	Drain pump	Water valve	Blow dryer	Duration
1237,524430	0x34	Stop	CW	Off	On	Off	Off	0,099950
1237,624380	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,624400	0x34	Stop	CW	Off	On	Off	Off	0,099965
1237,724365	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,724385	0x34	Stop	CW	Off	On	Off	Off	0,100075
1237,824460	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,824480	0x34	Stop	CW	Off	On	Off	Off	0,099960
1237,924440	0x36	Stop	CW	Off	On	On	Off	0,000020
1237,924460	0x34	Stop	CW	Off	On	Off	Off	0,100095
1238,024555	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,024575	0x34	Stop	CW	Off	On	Off	Off	0,100000
1238,124575	0x36	Stop	CW	Off	On	On	Off	0,000015
1238,124590	0x34	Stop	CW	Off	On	Off	Off	0,099955
1238,224545	0x36	Stop	CW	Off	On	On	Off	0,000015
1238,224560	0x34	Stop	CW	Off	On	Off	Off	0,099960
1238,324520	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,324540	0x34	Stop	CW	Off	On	Off	Off	0,100085
1238,424625	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,424645	0x34	Stop	CW	Off	On	Off	Off	0,099955
1238,524600	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,524620	0x34	Stop	CW	Off	On	Off	Off	0,099955
1238,624575	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,624595	0x34	Stop	CW	Off	On	Off	Off	0,100080
1238,724675	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,724695	0x34	Stop	CW	Off	On	Off	Off	0,099955
1238,824650	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,824670	0x34	Stop	CW	Off	On	Off	Off	0,100085
1238,924755	0x36	Stop	CW	Off	On	On	Off	0,000020
1238,924775	0x34	Stop	CW	Off	On	Off	Off	0,099965
1239,024740	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,024760	0x34	Stop	CW	Off	On	Off	Off	0,099990
1239,124750	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,124770	0x34	Stop	CW	Off	On	Off	Off	0,099950
1239,224720	0x36	Stop	CW	Off	On	On	Off	0,000020
1239,224740	0x34	Stop	CW	Off	On	Off	Off	0,100080
