Time [s],Event
0,0886815,Wrote 0x00 to 0x50. +ACK
0,0887473,Stop
0,3116210,Start
0,3116628,Setup write to 0x50. +ACK
0,3117348,Wrote 0x00 to 0x50. +ACK
0,3118068,Wrote 0x00 to 0x50. +ACK
0,3118725,Stop
0,3119700,Start
0,3120118,Setup write to 0x50. +ACK
0,3120838,Wrote 0x00 to 0x50. +ACK
0,3121558,Wrote 0x10 to 0x50. +ACK
0,3122215,Stop
0,3132893,Start
0,3133310,Setup write to 0x50. +ACK
0,3134030,Wrote 0x01 to 0x50. +ACK
0,3134750,Wrote 0x02 to 0x50. +ACK
0,3135473,Wrote 0x06 to 0x50. +ACK
0,3136193,Wrote 0x00 to 0x50. +ACK
0,3136850,Stop
0,3157570,Start
0,3157988,Setup write to 0x50. +ACK
0,3158708,Wrote 0x01 to 0x50. +ACK
0,3159865,Start
0,3160238,Setup read from 0x50. +ACK
0,3160958,Read 0x00 from 0x50. +ACK
0,3162198,Read 0x00 from 0x50. +No ACK
0,3163465,Stop
0,3164040,Start
0,3164458,Setup write to 0x50. +ACK
0,3165178,Wrote 0x00 to 0x50. +ACK
0,3165900,Wrote 0x00 to 0x50. +ACK
0,3166558,Stop
0,7941533,Start
0,7941950,Setup write to 0x50. +ACK
0,7942670,Wrote 0x00 to 0x50. +ACK
0,7943390,Wrote 0x00 to 0x50. +ACK
0,7944048,Stop
0,7944573,Start
0,7944990,Setup write to 0x50. +ACK
0,7945710,Wrote 0x00 to 0x50. +ACK
0,7946433,Wrote 0x10 to 0x50. +ACK
0,7947090,Stop
0,7957838,Start
0,7958255,Setup write to 0x50. +ACK
0,7958975,Wrote 0x01 to 0x50. +ACK
0,7959695,Wrote 0x02 to 0x50. +ACK
0,7960875,Wrote 0x06 to 0x50. +ACK
0,7961595,Wrote 0x00 to 0x50. +ACK
0,7962253,Stop
0,7982963,Start
0,7983380,Setup write to 0x50. +ACK
0,7984100,Wrote 0x01 to 0x50. +ACK
0,7984798,Start
0,7985170,Setup read from 0x50. +ACK
0,7985890,Read 0x00 from 0x50. +ACK
0,7987130,Read 0x00 from 0x50. +No ACK
0,7988400,Stop
0,7989625,Start
0,7990043,Setup write to 0x50. +ACK
0,7991223,Wrote 0x00 to 0x50. +ACK
0,7991943,Wrote 0x00 to 0x50. +ACK
0,7992600,Stop
0,7993745,Start
0,7994163,Setup write to 0x50. +ACK
0,7994883,Wrote 0x00 to 0x50. +ACK
0,7995603,Wrote 0x00 to 0x50. +ACK
0,7996260,Stop
0,7996785,Start
0,7997203,Setup write to 0x50. +ACK
0,7997925,Wrote 0x00 to 0x50. +ACK
0,7998645,Wrote 0x10 to 0x50. +ACK
0,7999303,Stop
0,8010050,Start
0,8010928,Setup write to 0x50. +ACK
0,8011648,Wrote 0x01 to 0x50. +ACK
0,8012368,Wrote 0x02 to 0x50. +ACK
0,8013088,Wrote 0x06 to 0x50. +ACK
0,8013808,Wrote 0x00 to 0x50. +ACK
0,8014465,Stop
0,8035175,Start
0,8035593,Setup write to 0x50. +ACK
0,8036313,Wrote 0x01 to 0x50. +ACK
0,8037010,Start
0,8037383,Setup read from 0x50. +ACK
0,8038103,Read 0x00 from 0x50. +ACK
0,8039345,Read 0x00 from 0x50. +No ACK
0,8041073,Stop
0,8042298,Start
0,8042715,Setup write to 0x50. +ACK
0,8043435,Wrote 0x00 to 0x50. +ACK
0,8044155,Wrote 0x00 to 0x50. +ACK
0,8044813,Stop
1,3765338,Start
1,3765758,Setup write to 0x50. +ACK
1,3766478,Wrote 0x00 to 0x50. +ACK
1,3767198,Wrote 0x00 to 0x50. +ACK
1,3767855,Stop
1,3768380,Start
1,3768798,Setup write to 0x50. +ACK
1,3769518,Wrote 0x00 to 0x50. +ACK
1,3770238,Wrote 0x10 to 0x50. +ACK
1,3770895,Stop
1,3782163,Start
1,3782580,Setup write to 0x50. +ACK
1,3783300,Wrote 0x01 to 0x50. +ACK
1,3784020,Wrote 0x02 to 0x50. +ACK
1,3784740,Wrote 0x06 to 0x50. +ACK
1,3785463,Wrote 0x00 to 0x50. +ACK
1,3786120,Stop
1,3806888,Start
1,3807308,Setup write to 0x50. +ACK
1,3808028,Wrote 0x01 to 0x50. +ACK
1,3808725,Start
1,3809098,Setup read from 0x50. +ACK
1,3809818,Read 0x00 from 0x50. +ACK
1,3811058,Read 0x00 from 0x50. +No ACK
1,3812815,Stop
1,3814040,Start
1,3814458,Setup write to 0x50. +ACK
1,3815178,Wrote 0x00 to 0x50. +ACK
1,3815898,Wrote 0x00 to 0x50. +ACK
1,3816558,Stop
1,3817703,Start
1,3818120,Setup write to 0x50. +ACK
1,3818840,Wrote 0x00 to 0x50. +ACK
1,3819560,Wrote 0x00 to 0x50. +ACK
1,3820218,Stop
1,3820743,Start
1,3821160,Setup write to 0x50. +ACK
1,3822370,Wrote 0x00 to 0x50. +ACK
1,3823090,Wrote 0x10 to 0x50. +ACK
1,3823748,Stop
1,3834535,Start
1,3834953,Setup write to 0x50. +ACK
1,3835673,Wrote 0x01 to 0x50. +ACK
1,3836393,Wrote 0x02 to 0x50. +ACK
1,3837115,Wrote 0x06 to 0x50. +ACK
1,3837835,Wrote 0x00 to 0x50. +ACK
1,3838493,Stop
1,3859273,Start
1,3859690,Setup write to 0x50. +ACK
1,3860410,Wrote 0x01 to 0x50. +ACK
1,3861108,Start
1,3861480,Setup read from 0x50. +ACK
1,3862610,Read 0x00 from 0x50. +ACK
1,3863850,Read 0x00 from 0x50. +No ACK
1,3865118,Stop
1,3866343,Start
1,3866760,Setup write to 0x50. +ACK
1,3867480,Wrote 0x00 to 0x50. +ACK
1,3868203,Wrote 0x00 to 0x50. +ACK
1,3868860,Stop
2,3766630,Start
2,3767048,Setup write to 0x50. +ACK
2,3767768,Wrote 0x00 to 0x50. +ACK
2,3768490,Wrote 0x00 to 0x50. +ACK
2,3769148,Stop
2,3769673,Start
2,3770090,Setup write to 0x50. +ACK
2,3770810,Wrote 0x00 to 0x50. +ACK
2,3771530,Wrote 0x10 to 0x50. +ACK
2,3772188,Stop
2,3782935,Start
2,3783353,Setup write to 0x50. +ACK
2,3784073,Wrote 0x01 to 0x50. +ACK
2,3785003,Wrote 0x02 to 0x50. +ACK
2,3785723,Wrote 0x06 to 0x50. +ACK
2,3786443,Wrote 0x00 to 0x50. +ACK
2,3787100,Stop
2,3807810,Start
2,3808228,Setup write to 0x50. +ACK
2,3808950,Wrote 0x01 to 0x50. +ACK
2,3809645,Start
2,3810020,Setup read from 0x50. +ACK
2,3810740,Read 0x00 from 0x50. +ACK
2,3811980,Read 0x00 from 0x50. +No ACK
2,3813248,Stop
2,3814933,Start
2,3815350,Setup write to 0x50. +ACK
2,3816070,Wrote 0x00 to 0x50. +ACK
2,3816790,Wrote 0x00 to 0x50. +ACK
2,3817448,Stop
2,3818593,Start
2,3819010,Setup write to 0x50. +ACK
2,3819733,Wrote 0x00 to 0x50. +ACK
2,3820453,Wrote 0x00 to 0x50. +ACK
2,3821110,Stop
2,3821635,Start
2,3822053,Setup write to 0x50. +ACK
2,3822773,Wrote 0x00 to 0x50. +ACK
2,3823493,Wrote 0x10 to 0x50. +ACK
2,3824610,Stop
2,3835368,Start
2,3835785,Setup write to 0x50. +ACK
2,3836505,Wrote 0x01 to 0x50. +ACK
2,3837225,Wrote 0x02 to 0x50. +ACK
2,3837945,Wrote 0x06 to 0x50. +ACK
2,3838665,Wrote 0x00 to 0x50. +ACK
2,3839323,Stop
2,3860043,Start
2,3860463,Setup write to 0x50. +ACK
2,3861183,Wrote 0x01 to 0x50. +ACK
2,3861880,Start
2,3862253,Setup read from 0x50. +ACK
2,3862973,Read 0x00 from 0x50. +ACK
2,3864673,Read 0x00 from 0x50. +No ACK
2,3865940,Stop
2,3867165,Start
2,3867583,Setup write to 0x50. +ACK
2,3868303,Wrote 0x00 to 0x50. +ACK
2,3869023,Wrote 0x00 to 0x50. +ACK
2,3869680,Stop
3,3769863,Start
3,3770280,Setup write to 0x50. +ACK
3,3771003,Wrote 0x00 to 0x50. +ACK
3,3771723,Wrote 0x00 to 0x50. +ACK
3,3772380,Stop
3,3772905,Start
3,3773323,Setup write to 0x50. +ACK
3,3774043,Wrote 0x00 to 0x50. +ACK
3,3774763,Wrote 0x10 to 0x50. +ACK
3,3775420,Stop
3,3786168,Start
3,3787035,Setup write to 0x50. +ACK
3,3787755,Wrote 0x01 to 0x50. +ACK
3,3788475,Wrote 0x02 to 0x50. +ACK
3,3789195,Wrote 0x06 to 0x50. +ACK
3,3789915,Wrote 0x00 to 0x50. +ACK
3,3790573,Stop
3,3811293,Start
3,3811710,Setup write to 0x50. +ACK
3,3812433,Wrote 0x01 to 0x50. +ACK
3,3813130,Start
